menu_start_game_0|Welcome to the Between Empires mod.
mno_continue|Continue...
mno_go_back|Go back
menu_start_phase_2|Select a city which you want to start your journey at.
mno_town_factionleader|Your country's capital ({s1})
mno_town_1|Paris
mno_town_2|Berlin.
mno_town_3|Vienna.
mno_town_4|London.
mno_town_5|Saint Petersburg.
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Go back.
menu_reports|Character Renown: {reg5}{s31}^Honor Rating: {reg6}^Party Morale: {reg8}^Party Size Limit: {reg7}^^{s50}
mno_show_pps_menu|View faction internal politics menu.
mno_show_pas_menu|View faction military management menu.
mno_show_weather_report|View weather report.
mno_reports_to_faction_technologies|View your faction military technologies.
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_npc_mission_report|View companion mission report.
mno_view_weekly_budget_report|View weekly budget report.
mno_view_morale_report|View party morale report.
mno_action_view_troop_trees|View factions troop trees.
mno_action_view_world_map|World Map
mno_lord_relations|View list of known lords by relation.
mno_courtship_relations|View courtship relations.
mno_view_faction_relations_report|View faction relations report.
mno_resume_travelling|Resume travelling.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_1|Select your character's gender.
mno_start_male|Male
mno_start_female|Female
menu_start_character_1|You were born years ago. Your father was...
mno_start_noble|An aristocrat.
mno_start_merchant|An impoverished capitalist.
mno_start_guard|An army officer.
mno_start_forester|A high-ranking member of organized crime syndicate.
mno_start_professor|A university professor.
mno_start_worker|A factory worker.
mno_start_nomad|A steppe nomad.
mno_start_thief|A thief.
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...
mno_page|A school student.
mno_apprentice|Factory worker.
mno_stockboy|A street urchin.
mno_urchin|News{reg3?girl:boy}.
mno_nomad|A steppe child.
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...
mno_student1|A university student (medicine).
mno_student2|A university student (engineering).
mno_student3|A university student (philology).
mno_troubadour|A touring musician.
mno_craftsman|An entrepreneur.
mno_poacher|An outlaw.
mno_peddler|The North America settler.
mno_squire|A Crimean War veteran.
menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...
mno_revenge|Personal revenge.
mno_death|The loss of a loved one.
mno_wanderlust|Wanderlust.
mno_disown|Being forced out of your home.
mno_greed|Lust for money and power.
menu_choose_skill|{s13}
mno_begin_adventuring|Become an adventurer and ride to your destiny.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|You set up camp. What do you want to do?
mno_camp_action|Take an action.
mno_camp_wait_here|Wait here for some time.
mno_camp_cheat|CHEAT MENU!
menu_camp_cheat|Select a cheat:
mno_start_civil_war_in_belgium|Start civil war in Belgium.
mno_jump_to_socialism_rebellion_won|Jump to liberal rebellion menu.
mno_camp_cheat_400_pes_pps_iterations|Simulate 400 PES/PPS iterations.
mno_camp_cheat_20_pes_pps_iterations|Simulate 20 PES/PPS iterations.
mno_camp_cheat_dds|Open Debug Display Slots.
mno_display_pas_debug_messages|Toggle display PAS debug messages.
mno_camp_cheat_all_factions_research_all_tech|Make all factions immediately research all technologies.
mno_camp_cheat_find_item|Find an item...
menu_camp_action|Choose an action:
mno_camp_action_pas_enlistment_retire|Retire from service.
mno_camp_recruit_prisoners|Recruit some of your prisoners to your party.
mno_action_read_book|Select a book to read.
mno_action_rename_kingdom2|Rename faction.
mno_action_rename_kingdom|Change faction settings.
mno_action_change_flag|Change flag of your nation.
mno_action_promote_kingdom_custom_troop|Customize your faction army.
mno_change_game_speed|Change game speed. (current speed - {reg0} days per year).
mno_enable_ironsight|Toggle ironsight mode.
mno_action_retire|Retire from adventuring.
mno_camp_action_4|Back to camp menu.
menu_camp_recruit_prisoners|You offer your prisoners freedom if they agree to join you as soldiers. {s18}
mno_camp_recruit_prisoners_accept|Take them.
mno_camp_recruit_prisoners_reject|Reject them.
menu_camp_no_prisoners|You have no prisoners to recruit from.
menu_camp_action_read_book|Choose a book to read:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|You are at day {reg0}. Your current luck is {reg1}. Are you sure you want to retire?
mno_retire_yes|Yes.
mno_retire_no|No.
menu_end_game|The decision is made, and you resolve to give up your adventurer's life and settle down. You sell off your weapons and armour, gather up all your money, and ride off into the sunset....
mno_end_game_bye|Farewell.
menu_cattle_herd|You encounter a herd of cattle.
mno_cattle_drive_away|Drive the cattle onward.
mno_cattle_stop|Bring the herd to a stop.
mno_cattle_kill|Slaughter some of the animals.
mno_leave|Leave.
menu_cattle_herd_kill|How many animals do you want to slaughter?
mno_cattle_kill_1|One.
mno_cattle_kill_2|Two.
mno_cattle_kill_3|Three.
mno_cattle_kill_4|Four.
mno_cattle_kill_5|Five.
menu_arena_duel_fight|You and your opponent prepare to duel.
menu_simple_encounter|{s2} You have {reg10} troops fit for battle against their {reg11}.
mno_encounter_attack_deployment|Change the troops deployment plan.
mno_encounter_attack|Start the battle.
mno_encounter_order_attack|Order your troops to attack without you.
mno_encounter_leave|Leave.
mno_encounter_retreat|Pull back, leaving some soldiers behind to cover your retreat.
mno_encounter_surrender|Surrender.
menu_encounter_retreat_confirm|As the party member with the highest tactics skill, ({reg2}), {reg3?you devise:{s3} devises} a plan that will allow you and your men to escape with your lives, but you'll have to leave {reg4} soldiers behind to stop the enemy from giving chase.
mno_leave_behind|Go on. The sacrifice of these men will save the rest.
mno_dont_leave_behind|No. We leave no one behind.
menu_encounter_retreat|You tell {reg4} of your troops to hold the enemy while you retreat with the rest of your party.
menu_order_attack_begin|Your troops prepare to attack the enemy.
mno_order_attack_begin|Order the attack to begin.
mno_call_back|Call them back.
menu_order_attack_2|{s4}^^Your casualties: {s8}^^Enemy casualties: {s9}
mno_order_attack_continue|Order your soldiers to continue the attack.
mno_order_retreat|Call your soldiers back.
