qstr_res_cape1|res cape1
qstr_res_cape2|res cape2
qstr_thawb1_belt1|thawb1 belt1
qstr_banner_ria1|Банер ria1
qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила:^
qstr_0|0
qstr_Lv._{reg0}|Ур. {reg0}
qstr_Show_game_rules|Показать правила игры
qstr_Choose_name_for_your|Выберите имя для своей фрауции:
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат #1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ({s4}) желает выбрать нового маршала и приглашает его вассалов для совещания. {s1} и {s2} - вероятные кандидаты.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Количество поддерживающих: {reg0}
qstr_{s2}_has_heard_his_v|{s2} услышал своих вассалов. Им выбран {s1} в качестве маршала {s3}.
qstr__| 
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Retreat|Отход
qstr_Charge|В атаку
qstr_Follow_Me|За мной
qstr_Form_Square|Сформировать квадрат
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Сомкнуться
qstr_Fall_Back|Отступить
qstr_Advance|Продвинутся
qstr_Dismount|Спешится
qstr_Fire_At_Will|Стрелять по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Ranged_Weapons|Использовать оружие дальнего боя
qstr_Use_Melee_Weapons|Использовать оружие ближнего боя
qstr_Ready|В бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Cannot_form_square:_|Не удается сформировать квадрат: выбрано слишком много команд.
qstr_Cannot_form_square:_w|Невозможно сформировать квадрат: неправильные типы рот (только линейная пехота и гвардейская пехота могут сформировать квадрат).
qstr_Number_of_men_knocke|Количество сбитых: {reg1}
qstr_Number_of_men_left:_|Количество оставшихся: {reg1}
qstr_Opponents_Beaten:_{r|Выведено из строя противников: {reg1}
qstr_Opponents_Remaining:|Противников в строю: {reg1}
qstr_Remain_in_retirement|В отставку.
qstr_Go_back_to_the_adven|На поиски приключений.
qstr_You_have_retired_at_|Вы ушли в отставку на уровне {reg4} после {reg5}-ти дневных путешествий.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Вы владеете поселениями: {reg0}
qstr_Friendly_Settlements|Дружественные поселения: {reg0}
qstr_Hostile_Settlements:|Враждебные поселения: {reg0}
qstr_Friendly_Lords:_{reg|Дружественные лорды: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеские лорды: {reg0}
qstr_Victories:_{reg0}|Победы: {reg0}
qstr_Defeats:_{reg0}|Поражения: {reg0}
qstr_Quests_Completed:_{r|Выполненные квесты: {reg0}
qstr_Companions_Found:_{r|Привлеченные компаньоны: {reg0}
qstr_Companions_Lost/Depa|Потерянные/ушедшие компаньоны: {reg0}
qstr_Wealth:_{reg0}_denar|Благосостояние: {reg0} Динар
qstr_Inventory:_{reg0}_de|Имущество: {reg0} динар
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Общий счет: {reg0}
qstr_Income_from_factorie|Доля доходов от фабрик:
qstr_{reg10}|{reg10}
qstr_None|Нет
qstr_Back|Назад
qstr_Empty|Пусто
qstr_1._{s1}|1. {s1}
qstr___c.|  c.
qstr_90%|90%
qstr_2._{s1}|2. {s1}
qstr__%| %
qstr_3._{s1}|3. {s1}
qstr_4._{s1}|4. {s1}
qstr_5._{s1}|5. {s1}
qstr_6._{s1}|6. {s1}
qstr_7._{s1}|7. {s1}
qstr_8._{s1}|8. {s1}
qstr_Form_Square^^Selecte|Сформируйте квадрат ^^ Выбранные команды (не более двух)^ сформируют квадратное формирование. Он эффективен в ближнем бою, особенно против кавалерии, но уязвим для вражеского огня. Чтобы выбранные роты могли ^ образовать квадрат, в них должно быть не менее 25 солдат ^ в общей сложности.^ Типы рот: Линейная пехота, Гвардия.
qstr_pbs_activeability_me|PBS использовать объединение
qstr_Merge_Companies^^Sel|Объединить роты ^^Выбранные роты (не менее одной)^будут объединены в роту с наибольшим количеством солдат.
qstr_pbs_activeability_di|PBS использовать окапывание
qstr_Dig_In^^Selected_com|Копайте ^^ Выбранные компании будут копать, ^ создавая траншеи на своей позиции.^Доступно только один раз за бой.^ Типы рот: Линейная пехота, Гвардия.
qstr_pbs_activeability_co|pbs использовать огонь на подавление
qstr_pbs_activeability_ga|pbs использовать газ
qstr_Gas_Attack^^.^Compan|Газовая атака ^^.^ Типы рот: Полевые орудия и гаубицы.
qstr_pbs_activeability_gr|pbs использовать гранаты
qstr_Grenade_Attack^^Sele|Гранатометная атака ^^ Выбранные компании проводят гранатометную атаку на расстоянии до 50 метров, бросая ^ ручные гранаты во врагов, находящихся на близком расстоянии.^Доступно только один раз в 3 минуты.^Типы рот: Ударные войска.
qstr_Suppression_fire:_on|Ликвидация огня: вкл.
qstr_Suppression_fire:_of|Ликвидация огня: выкл.
qstr_pbs_activeability_cov|pbs выкл огня на подавление
qstr_Suppression_fire:_on/|Ликвидация огня: вкл/выкл
qstr_pbs_activeability_cove|pbs огонь на подавление вкл/выкл
qstr_No_companies_selecte|Команды не выбраны
qstr_pbs_activeability_cover|pbs огонь на подавление не выбрана
qstr_{s1}^^Turning_on_sup|{s1} ^^ Включение огня подавления увеличит скорость стрельбы ^ и снизит уровень дисциплины противника в два раза быстрее ^ в обмен на резкое снижение вашей собственной точности.^ Типы рот: любые.
qstr_Gas_masks:_always_we|Противогазы: всегда надеты
qstr_pbs_activeability_gas|pbs противогазы вкл.
qstr_Gas_masks:_at_will|Противогазы: по желанию
qstr_pbs_activeability_gasm|pbs противогазы выкл
qstr_Gas_masks:_always_wea|Противогазы: Всегда надеты/по желанию
qstr_pbs_activeability_gasma|pbs противогазы вкл/выкл
qstr_pbs_activeability_gasmas|pbs противогазы не выбраны
qstr_{s1}^^Gas_masks_make|{s1}^^ Противогазы делают войска неуязвимыми для ядовитого газа, но снижают точность стрельбы и уровень энергии.^ Типы рот: любые.
qstr_{reg0}%|{reg0}%
qstr_{reg0}_c.|{reg0} c.
qstr_Cannot_dig_in:_wrong|Невозможно окопаться: неправильные типы рот (только линейная пехота и гвардейская пехота могут окопаться).
qstr_Cannot_launch_gas_at|Невозможно начать газовую атаку: неправильные типы рот (только артиллерия может использовать газовую атаку).
qstr_Cannot_launch_grenad|Невозможно начать атаку с использованием гранат: неправильные типы рот (только ударные войска могут бросать гранаты).
qstr_Select_2_or_more_com|Выберите 2 или более рот с солдатами для объединения.
qstr_Others|Другие
qstr_Outlaws|Преступники
qstr_Mercenary|Наемник
qstr_Close|Закрыть
qstr_Click_the_center_but|Нажмите центральную кнопку, чтобы переключить фракцию ^ Щелкните аватары, чтобы просмотреть их подробную информацию
qstr_Level:_{reg3}^Health|Уровень: {reg3}^Здоровье: {reg4}
qstr_Attributes|Атрибуты
qstr_STR^AGI^INT^CHA|СИЛ^ЛОВ^ИНТ^ХАР
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Навыки
qstr_Ironflesh^Power_Stri|Железная кожа^Силовой удар^Силовой Бросок^Силовая тяга^Щит^Легкая атлетика^Верховая езда^Стрельба из лука
qstr_Proficiencies|Мастерство
qstr_1H_Weapons^2H_Weapon|одноручное Оружие^двуручное Оружие^Древковое оружие^Лук^Ружья^Метание
qstr_Equipments|Снаряжение
qstr_Factions|Фракция
qstr_Show_towns|Показать города
qstr_Show_castles|Показать крепости
qstr_Show_villages|Показать деревни
qstr_Tip:_move_the_mouse_|Совет: наведите курсор мыши на черные блоки, чтобы показать их названия.
qstr_The_World_Map|Мировая карта
qstr_Done|Сделать
qstr_Language:|Язык:
qstr_English|English
qstr_Russian|Русский
qstr_German|German
qstr_Turkish|Turkish
qstr_Spanish|Spanish
qstr_Italian|Italian
qstr_French|French
qstr_Polish|Polish
qstr_Press_Escape_to_clos|Нажмите Escape, чтобы закрыть меню...
qstr_Army_of_{s7}|Army of {s7}
qstr_Attribute_points_{re|Очки атрибутов {reg40}
qstr_Skill_points_{reg41}|Очки навыков {reg41}
qstr_Weapon_points_{reg42|Оружейное мастерство {reg42}
qstr_Save|Сохранить
qstr_Reset|Сбросить
qstr_Current:{s1}|Выбран:{s1}
qstr_{s2}^Base_Attribute:|{s2}^Базовый атрибут:ХАР
qstr_{s2}^Base_Attribute:I|{s2}^Базовый атрибут:ИНТ
